cdmTableName,cdmFieldName,conceptId,conceptName,wrongDomain,cdmWrongFieldName,cdmValueFieldName,checkAllowedValues,checkUnit
measurement,measurement_concept_id,2000000030,QLQ-C30 Role Functioning change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000031,QLQ-C30 Emotional Functioning change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000032,QLQ-C30 Cognitive Functioning change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000033,QLQ-C30 Social Functioning change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000034,QLQ-C30 Fatigue change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000035,QLQ-C30 Nausea and Vomiting change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000036,QLQ-C30 Pain change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000037,QLQ-C30 Dyspnoeachange from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000038,QLQ-C30 Insomnia change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000039,QLQ-C30 Appetite Loss change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000040,QLQ-C30 Constipation change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000041,QLQ-C30 Diarrhea change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000042,QLQ-C30 Financial Difficulties change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000043,EQ-5D 5L Total change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000044,EQ-VAS change from baseline,observation,observation_concept_id,,,
observation,observation_concept_id,2000000098,Chemotherapy changed - End of Phase/ line,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000099,Censored Last Visit,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000100,Chemotherapy changed - Patient Request,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000101,Censored for unknown reason,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000180,History of neuropathic pain,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000181,History of neuropathy,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000588,CD200 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000588,CD200 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000589,CD229 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000589,CD229 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000590,CD319 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000590,CD319 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000591,CD54 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000591,CD54 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000592,CD56 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000592,CD56 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000593,VS38c % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000593,VS38c % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000594,CD27 % cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000594,CD27 % cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000595,Isolated Monosomy 14,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000596,t(14;20) (q32;q11) fusion transcript [Identifier] in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000596,t(14;20) (q32;q11) fusion transcript [Identifier] in Bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000597,t(6;14) (p21;q32) fusion transcript [Identifier] in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000597,t(6;14) (p21;q32) fusion transcript [Identifier] in Bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000598,Other IGH translocation,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000599,Trisomic MM,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000599,Trisomic MM,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000600,Combined IgH-translocated/trisomic MM,observation,observation_concept_id,,,
observation,observation_concept_id,2000000601,Partial response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000928,IMWG 2011 Response Criteria,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000602,Progressive disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000603,Stable disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000604,Complete response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000605,Immunophenotypic complete response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000606,Molecular response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000607,Stringent complete response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000608,Very good partial response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000609,Near complete response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000610,Minimal response,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000611,Response unknown/NA,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000621,IgA [presence],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000622,IgG [Mass/volume],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000623,IgM [Mass/volume],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000624,ZAP-70 expression [categorical],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000625,IGHV rearrangement [Identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000625,IGHV rearrangement [Identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000626,IGHV rearrangement cells/100 cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000626,IGHV rearrangement cells/100 cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000627,ZAP-70 expression in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000628,CXCR4-WHIM mutation,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000628,CXCR4-WHIM mutation,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000629,SOX 11 Alterations by Immunohistochemistry,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000629,SOX 11 Alterations by Immunohistochemistry,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000631,Del(13)q [Identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000631,Del(13)q [Identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000632,Del(11)q [Identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000632,Del(11)q [Identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000909,Del11q,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000909,Del11q,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000633,Del(11)q cells/100 cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000633,Del(11)q cells/100 cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000634,Binet stage,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000634,Binet stage,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000638,Rai stage,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000638,Rai stage,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000887,Staging/risk category,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000645,Mayo stage,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000645,Mayo stage,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000649,IWCLL consenus response criteria 2008: complete remission,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000650,IWCLL consenus response criteria 2008 complete remission with incomplete marrow recovery,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000651,IWCLL consenus response criteria 2008 partial remission,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000652,IWCLL consenus response criteria 2008 stable disease,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000653,IWCLL consenus response criteria 2008 progressive disease,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000672,Del(13)q cells/100 cells in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000672,Del(13)q cells/100 cells in bone marrow,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000673,Ann Arbour staging score,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000673,Ann Arbour staging score,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000678,B symptoms Y/N,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000678,B symptoms Y/N,,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000679,B symptom: weight loss (Y/N),measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000679,B symptom: weight loss (Y/N),,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000680,B symptom: fever (Y/N),measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000680,B symptom: fever (Y/N),,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000681,B symptom: Night sweats (Y/N),measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000681,B symptom: Night sweats (Y/N),,,value_as_concept_id,Yes,
observation,observation_concept_id,2000000682,Blastoid histology,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000683,Patient International Prognostic Scoring System for WM (IPSSWM),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000683,Patient International Prognostic Scoring System for WM (IPSSWM),,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000687,Patient MCL International Prognostic Index (MIPI) risk score,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000688,Patient MCL International Prognostic Index (MIPI) risk category,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000688,Patient MCL International Prognostic Index (MIPI) risk category,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000692,Bulky disease diameter,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000692,Bulky disease diameter,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000697,Bone marrow involvement,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000697,Bone marrow involvement,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000703,CIRS Score,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000704,CIRS (cardiac) [#1],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000705,CIRS (hypertension) [#2],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000706,CIRS (vascular) [#3],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000707,CIRS (respiratory) [#4],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000708,CIRS (eye-ear-nose-throat-larynx) [#5],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000709,CIRS (Upper GI) [#6],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000710,CIRS (Lower GI) [#7],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000711,CIRS (Hepatic) [#8],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000712,CIRS (Renal) [#9],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000713,CIRS (Other genito-urinary) [#10],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000714,CIRS (Musculo-skeletal-integumentary) [#11],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000715,CIRS (Neurological) [#12],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000716,CIRS (Endocrine-metabolic) [#13],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000717,CIRS (Psychiatric/ behavioral) [#14],observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000724,Revised Multiple Myeloma International Staging System (R-ISS),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000724,Revised Multiple Myeloma International Staging System (R-ISS),,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000728,Protein.monoclonal [Mass/volume] in Serum by Electrophoresis,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000728,Protein.monoclonal [Mass/volume] in Serum by Electrophoresis,,,unit_concept_id,,Yes
measurement,measurement_concept_id,2000000946,Serum protein electrophoresis (SPEP),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000888,The Frailty Index for Elders (FIFE),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000888,The Frailty Index for Elders (FIFE),,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000892,Patient Cumulative Illness Rating Scale (CIRS),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000893,Lytic_bone_lesions,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000893,Lytic_bone_lesions,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000894,Imaging,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000895,Imaging by CT,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000896,Imaging by MRI,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000897,PET CT,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000897,PET CT,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000898,Whole body Low Dose CT,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000898,Whole body Low Dose CT,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000899,MRI of the spine,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000899,MRI of the spine,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000900,Whole body MRI,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000900,Whole body MRI,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000905,EQ-5D 3L Total change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000906,EQ-5D Y Total change from baseline,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000908,Immunohistochemistry,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000910,Del13q,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000911,Del17p,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000920,Cytogenetics,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000912,IGHV rearrangement,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000913,Isolated Monosomy 13,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000914,t(11;14) (q13;q32),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000915,t(4;14)(p16;q32)(FGFR3;IGH) fusion transcript [Identifier] in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000915,t(4;14)(p16;q32)(FGFR3;IGH) fusion transcript [Identifier] in Bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000916,ZAP-70 expression measurement,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000917,t(11;14) (q13;q32) [identifier] in bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000917,t(11;14) (q13;q32) [identifier] in bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000918,t(14;16)(q32;q23)(IGH;MAF) fusion transcript [identifier] in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000918,t(14;16)(q32;q23)(IGH;MAF) fusion transcript [identifier] in Bone marrow,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000919,t(11;14) (q13;q32) cells/100 cells in Bone marrow,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000919,t(11;14) (q13;q32) cells/100 cells in Bone marrow,,,unit_concept_id,,Yes
observation,observation_concept_id,2000000921,Very good partial response or better,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000922,Sequencing Sustained MRD Negative,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000931,Sustained MRD Negative,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000923,Flow Sustained MRD Negative,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000924,Sequencing MRD-Negative,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000925,Flow MRD-negative,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000926,MRD Positive,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000927,IWCLL consenus response criteria 2008,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000929,IMWG 2016 Response Criteria,measurement,measurement_concept_id,,,
observation,observation_concept_id,2000000930,MRD Negative,measurement,measurement_concept_id,,,
measurement,measurement_concept_id,2000000932,Molecular response measurement by flow cytometry or sequencing,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000932,Molecular response measurement by flow cytometry or sequencing,,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000942,Serum Quantitative Immunoglobulins,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000943,Urine protein electrophoresis (UPEP),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000944,Urine immunofixation electrophoresis (UIFE),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000945,Full skeleton radiographic survey,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000947,Mayo Stratification for Myeloma and Risk-adapted Therapy (mSMART 2.0),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000947,Mayo Stratification for Myeloma and Risk-adapted Therapy (mSMART 2.0),,,value_as_concept_id,Yes,
measurement,measurement_concept_id,2000000951,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000952,Serum immunofixation electrophoresis (SIFE),observation,observation_concept_id,,,
measurement,measurement_concept_id,2000000953,Full blood count,observation,observation_concept_id,,,
